Positive	Negative	Text	Explanation
1	-1	More moving stuff from core into common.    	More moving stuff from core into common .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Moving tags to new location.   	Moving tags to new location .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Tagging the 0.1.0 release.   	Tagging the 0 .[sentence: 1,-1] 1 .[sentence: 1,-1] 0 release .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Update developer build version in branch.    	Update developer build version in branch .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Starting a branch for 0.1 releases.   	Starting a branch for 0 .[sentence: 1,-1] 1 releases .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	More fixes to get working directory to work on Windows.  Long-term we should stop using java.io.File for our abstract file paths.  On Windows, 'new File(/foo/bar).isAbsolute()' returns false, which caused lots of problems.  So I have added a FileSystem.isAbsolute() method that we use internally.  I also added a few more .getAbsoluteFile() calls to convert paths into absolute paths so that LocalFileSystem works correctly.  Finally I took advantage of file status information cached in DFSFile, eliminating some namenode RPCs.   	More fixes to get working directory to work on Windows .[sentence: 1,-1] Long -term we should stop using java .[sentence: 1,-1] io .[sentence: 1,-1] File for our abstract file paths .[sentence: 1,-1] On Windows ,'new File (/foo /bar ).[sentence: 1,-1] isAbsolute ()'returns false ,which caused lots of problems[-2].[sentence: 1,-2] So I have added a FileSystem .[sentence: 1,-1] isAbsolute ()method that we use internally .[sentence: 1,-1] I also added a few more .[sentence: 1,-1] getAbsoluteFile ()calls to convert paths into absolute paths so that LocalFileSystem works correctly .[sentence: 1,-1] Finally I took advantage of file status information cached in DFSFile ,eliminating some namenode RPCs .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Fix wiki url.    	Fix wiki url .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	If close() fails, then abandon the file, so that any leases are cleared and other task may attempt to create it.    	If close ()fails ,then abandon[-2]the file ,so that any leases are cleared and other task may attempt to create it .[sentence: 1,-2]  [result: max + and - of any sentence]
1	-2	Fix a bug where writing zero-length files would cause things to hang.    	Fix a bug where writing zero -length files would cause things to hang[-2].[sentence: 1,-2]  [result: max + and - of any sentence]
1	-1	DFS re-format should fully delete old namenode data.   	DFS re -format should fully delete old namenode data .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Fix for HADOOP-102.  Contributed by Konstantin.    	Fix for HADOOP -102 .[sentence: 1,-1] Contributed by Konstantin .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Fix HADOOP-100.  Be more consistent about synchronization of access to taskTracker collection.  Contributed by Owen O'Malley.   	Fix HADOOP -100 .[sentence: 1,-1] Be more consistent about synchronization of access to taskTracker collection .[sentence: 1,-1] Contributed by Owen O'Malley .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	Fix for HADOOP-107.  As they were written, dfs blocks were both trickled to a datanode and tee'd to a temp file (in case the connection to the datanode failed).  Now they're only written to the temp file, with no connection to the datanode made until the block is complete.  This reduces the number of long-lived mostly-idle connections to datanodes, which was causing problems.  It also simplifies the DFSClient code significantly.   	Fix for HADOOP -107 .[sentence: 1,-1] As they were written ,dfs blocks were both trickled[-2]to a datanode and tee'd to a temp file (in case the connection to the datanode failed ).[sentence: 1,-2] Now they're only written to the temp file ,with no connection to the datanode made until the block is complete .[sentence: 1,-1] This reduces the number of long -lived mostly -idle connections to datanodes ,which was causing problems[-2].[sentence: 1,-2] It also simplifies the DFSClient code significantly .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	Fix for HADOOP-103, part II: I forgot to add this file the first time!   	Fix for HADOOP -103 ,part II :I forgot to add this file the first time ![+0.6 punctuation mood emphasis][sentence: 2,-1]  [result: max + and - of any sentence]
2	-1	Fix for HADOOP-103.  Add a base class for Mapper and Reducer implementations that implements Closeable and JobConfigurable.  Use it in supplied Mappers & Reducers.  Also some minor improvements to demos.  Contributed by Owen O'Malley.   	Fix for HADOOP -103 .[sentence: 1,-1] Add a base class for Mapper and Reducer implementations that implements Closeable and JobConfigurable .[sentence: 1,-1] Use it in supplied Mappers &Reducers .[sentence: 1,-1] Also some minor improvements[2]to demos .[sentence: 2,-1] Contributed by Owen O'Malley .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	Fix for HADOOP-110.  Reuse keys and values when mapping.  Contributed by Owen O'Malley.    	Fix for HADOOP -110 .[sentence: 1,-1] Reuse keys and values[2]when mapping .[sentence: 2,-1] Contributed by Owen O'Malley .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	Fix for HADOOP-2.  The combiner now clones keys and values, so mappers may now safely reuse emitted keys and values.  Contributed by Owen O'Malley.   	Fix for HADOOP -2 .[sentence: 1,-1] The combiner now clones keys and values[2],so mappers may now safely reuse emitted keys and values[2].[sentence: 2,-1] Contributed by Owen O'Malley .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Fix for HADOOP-112.  All operations on local files are now performed through a LocalFileSystem.  In particular, listing the local directory, which was causing this bug, when CRC files were included in the listing.  Now they are correctly excluded.    	Fix for HADOOP -112 .[sentence: 1,-1] All operations on local files are now performed through a LocalFileSystem .[sentence: 1,-1] In particular ,listing the local directory ,which was causing this bug ,when CRC files were included in the listing .[sentence: 1,-1] Now they are correctly excluded .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-2	Fix for HADOOP-84.  Improve error and log messages when block cannot be obtained by including file name and offset.  Also removed a few unused variables.  Contributed by Konstantin Shvachko.   	Fix for HADOOP -84 .[sentence: 1,-1] Improve[2]error[-2]and log messages when block cannot be obtained by including file name and offset .[sentence: 2,-2] Also removed a few unused variables .[sentence: 1,-1] Contributed by Konstantin Shvachko .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-2	Fix HADOOP-33.  Avoid calling df too frequently by caching values internally.  Contributed by Konstantin Shvachko.   	Fix HADOOP -33 .[sentence: 1,-1] Avoid[-2]calling df too frequently by caching values[2]internally .[sentence: 2,-2] Contributed by Konstantin Shvachko .[sentence: 1,-1]  [result: max + and - of any sentence]
